2020/11/04 20:14:06.797 [D] [value.go:475]  ---- 请求到达
2020/11/05 16:57:56.978 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 16:57:56.978 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 16:57:56.980 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 16:57:56.984 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 16:57:57.128 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 16:57:57.129 [D] [role.go:40]  ==== 开启检查 ====
2020/11/05 16:57:57.131 [D] [role.go:28]  ---- 开始获取数据库连接 ----
2020/11/05 16:57:57.137 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 16:57:57.138 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 16:57:57.149 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 16:57:57.154 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 16:57:57.155 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 16:57:57.157 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 16:57:57.158 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 16:57:57.159 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:37
2020/11/05 16:57:57.160 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:40
2020/11/05 16:57:57.160 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 16:57:57.161 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 16:57:57.162 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 16:57:57.162 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 16:57:57.162 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 16:57:57.162 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 17:00:52.730 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:00:52.731 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:00:52.731 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:00:52.741 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 17:00:52.742 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 17:00:52.887 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:00:52.888 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:00:52.888 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 17:00:52.895 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 17:00:52.902 [D] [role.go:40]  ===== 开始检查 ====
2020/11/05 17:00:52.909 [C] [panic.go:969]  the request url is  /add/role
2020/11/05 17:00:52.910 [C] [panic.go:969]  Handler crashed with error runtime error: invalid memory address or nil pointer dereference
2020/11/05 17:00:52.911 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 17:00:52.911 [C] [panic.go:969]  D:/go/src/runtime/panic.go:212
2020/11/05 17:00:52.911 [C] [panic.go:969]  D:/go/src/runtime/signal_windows.go:246
2020/11/05 17:00:52.911 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/models/role.go:37
2020/11/05 17:00:52.912 [C] [panic.go:969]  D:/GoWorks/FamilyDiary/controllers/role.go:40
2020/11/05 17:00:52.912 [C] [panic.go:969]  D:/go/src/reflect/value.go:475
2020/11/05 17:00:52.913 [C] [panic.go:969]  D:/go/src/reflect/value.go:336
2020/11/05 17:00:52.913 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:897
2020/11/05 17:00:52.913 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 17:00:52.913 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 17:00:52.914 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 17:02:51.603 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:02:51.604 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:02:51.604 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:02:51.604 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 17:02:51.616 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 17:02:51.759 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:02:51.761 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:02:51.768 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 17:02:51.769 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 17:02:51.779 [D] [role.go:40]  ===== 开始检查 ====
2020/11/05 17:02:51.785 [D] [role.go:40]  ===== 检查结束 ====
2020/11/05 17:02:51.788 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   184.5066ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:03:03.587 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:03:03.601 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:03:03.608 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:03:03.622 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:03:03.623 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:03:03.623 [D] [role.go:40]  ===== 开始检查 ====
2020/11/05 17:03:03.625 [D] [role.go:40]  ===== 检查结束 ====
2020/11/05 17:03:03.634 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    46.8741ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:03:04.914 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:03:04.915 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:03:04.915 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:03:04.917 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:03:04.925 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:03:04.926 [D] [role.go:40]  ===== 开始检查 ====
2020/11/05 17:03:04.932 [D] [role.go:40]  ===== 检查结束 ====
2020/11/05 17:03:04.937 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    22.9383ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:03:05.887 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:03:05.888 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:03:05.888 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:03:05.888 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 17:03:05.890 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 17:03:05.899 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:03:05.901 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:03:05.901 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 17:03:05.903 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 17:03:05.918 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    30.9182ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:04:05.616 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:04:05.617 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:04:05.618 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:04:05.619 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:04:05.647 [D] [role.go:66]  ---- 开始获取数据库连接 ----
2020/11/05 17:04:05.700 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    83.7996ms|   match|[41m DELETE  [0m /del/role   r:/del/role
2020/11/05 17:05:33.100 [D] [server.go:2843]  |      127.0.0.1|[43m 404 [0m|           0s| nomatch|[43m PUT     [0m /del/role
2020/11/05 17:06:31.791 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:06:31.792 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:06:31.792 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:06:31.794 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:06:31.804 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:06:31.807 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    15.9572ms|   match|[43m PUT     [0m /update/role   r:/update/role
2020/11/05 17:06:48.724 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:06:48.725 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:06:48.725 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:06:48.738 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:06:48.740 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:06:48.743 [D] [role.go:77]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 17:06:48.744 [D] [role.go:85]  ---- 开始获取数据库连接 ----
2020/11/05 17:06:48.744 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:06:48.748 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:06:48.758 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:06:48.760 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:06:48.761 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:06:48.762 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:06:48.764 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:06:48.773 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:06:48.813 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    88.7629ms|   match|[43m PUT     [0m /update/role   r:/update/role
2020/11/05 17:07:48.134 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:07:48.135 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:07:48.136 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:07:48.146 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 17:07:48.147 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 17:07:48.296 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:07:48.297 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:07:48.304 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 17:07:48.305 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 17:07:48.319 [D] [role.go:40]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 17:07:48.320 [D] [role.go:47]  ---- 开始获取数据库连接 ----
2020/11/05 17:07:48.320 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:07:48.322 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:07:48.323 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:07:48.324 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:07:48.326 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:07:48.326 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:07:48.326 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:07:48.327 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:07:48.379 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   245.0614ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:08:13.109 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:13.110 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:13.110 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:13.112 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:13.122 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:08:13.127 [D] [role.go:40]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 17:08:13.128 [D] [role.go:47]  ---- 开始获取数据库连接 ----
2020/11/05 17:08:13.129 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:13.131 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:13.132 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:13.133 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:13.134 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:13.134 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:13.134 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:13.135 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:13.178 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    69.5276ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:08:31.921 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:31.922 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:31.922 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:31.933 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:31.941 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:08:31.944 [D] [role.go:40]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 17:08:31.945 [D] [role.go:47]  ---- 开始获取数据库连接 ----
2020/11/05 17:08:31.945 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:31.945 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:31.947 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:31.948 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:31.950 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:31.957 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:31.959 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:31.961 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:32.002 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    81.7815ms|   match|[46m POST    [0m /add/role   r:/add/role
2020/11/05 17:08:54.937 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:08:54.937 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:08:54.940 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:08:54.951 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:08:54.952 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:08:54.955 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    17.9532ms|   match|[43m PUT     [0m /update/role   r:/update/role
2020/11/05 17:09:29.799 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:09:29.809 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:09:29.810 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:09:29.811 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:09:29.813 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:09:29.816 [D] [role.go:77]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 17:09:29.819 [D] [role.go:85]  ---- 开始获取数据库连接 ----
2020/11/05 17:09:29.819 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:09:29.821 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:09:29.822 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:09:29.823 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:09:29.825 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:09:29.826 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:09:29.827 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:09:29.828 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:09:29.834 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    34.9068ms|   match|[43m PUT     [0m /update/role   r:/update/role
2020/11/05 17:09:49.116 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:09:49.116 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:09:49.116 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:09:49.118 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:09:49.129 [D] [role.go:27]  ---- 开始获取数据库连接 ----
2020/11/05 17:09:49.132 [D] [role.go:77]  ---- query sql: sql select id from fd_role where role_name = ?
2020/11/05 17:09:49.133 [D] [role.go:85]  ---- 开始获取数据库连接 ----
2020/11/05 17:09:49.133 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:09:49.133 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:09:49.134 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:09:49.137 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:09:49.139 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:09:49.140 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:09:49.141 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:09:49.143 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:09:49.199 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    83.8764ms|   match|[43m PUT     [0m /update/role   r:/update/role
2020/11/05 17:10:31.385 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:10:31.386 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:10:31.386 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:10:31.388 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:10:31.397 [D] [role.go:104]  ---- 开始获取数据库连接 ----
2020/11/05 17:10:31.403 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    17.9523ms|   match|[44m GET     [0m /get/role   r:/get/role
2020/11/05 17:11:23.068 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 17:11:23.068 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 17:11:23.069 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 17:11:23.070 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 17:11:23.082 [D] [role.go:128]  ---- 开始获取数据库连接 ----
2020/11/05 17:11:23.092 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    23.9371ms|   match|[46m POST    [0m /get/roles   r:/get/roles
2020/11/05 19:00:07.213 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:00:07.213 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:00:07.214 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:00:07.214 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 19:00:07.220 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 19:00:07.371 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 19:00:07.372 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    159.304ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:00:11.970 [D] [login.go:82]  login username:admin,password:admin
2020/11/05 19:00:11.971 [D] [login.go:87]  ---- user login cache redis key1:login_admin_username
2020/11/05 19:00:11.971 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:00:11.971 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:00:11.971 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:00:11.982 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 19:00:11.984 [D] [login.go:13]  ---- 开始获取数据库连接 ----
2020/11/05 19:00:11.985 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 19:00:11.986 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 19:00:11.997 [D] [login.go:65]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 19:00:11.999 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 19:00:12.000 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 19:00:12.003 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:00:12.005 [D] [cache.go:15]  ---- get redis val:admin ----
2020/11/05 19:00:12.006 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    36.9009ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 19:00:14.454 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:00:14.455 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:00:14.455 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:00:14.456 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:00:14.463 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:00:14.466 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    11.9456ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:01:32.050 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:01:32.051 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:01:32.052 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:01:32.060 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 19:01:32.061 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 19:01:32.229 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:01:32.230 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:01:32.231 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 19:01:32.238 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 19:01:32.249 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:01:32.249 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:01:32.250 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:01:32.250 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:01:32.252 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:01:32.253 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:01:32.253 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:01:32.255 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:01:32.261 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:01:32.262 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:01:32.309 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   258.7818ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:02:24.310 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:24.310 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:24.310 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:24.311 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:24.322 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:02:24.327 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:02:24.332 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:02:24.332 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:24.335 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:24.335 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:24.337 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:24.337 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:24.339 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:24.339 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:24.341 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:24.404 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    94.7469ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:02:44.183 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:44.184 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:44.184 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:44.194 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:44.196 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:02:44.198 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:02:44.200 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:02:44.206 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:44.207 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:44.209 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:44.210 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:44.212 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:44.212 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:44.213 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:44.214 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:44.245 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    62.8329ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:02:55.787 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:55.788 [D] [cache.go:25]  ---- 开始获取redis连接 ----
